Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
 2,0.0514,0.0027,0.0331,0.0022,0.1694,0.0340,0.0054,0.0007,0.0201,0.0075,0.0000,0.0000,0.0000,0.0000,0.4812,0.0462,0.147851,0.070295,0.00673,0.00042,0.0000,0.0000,0.05399,0.00381,0.0189,0.0034,0.00024,0.00010,0.000421,0.000031,0.0072,0.0010,0.000481,0.000050,0.21445,0.07042, 960.3,382.4, 965.8,459.7
 4,0.0548,0.0057,0.0381,0.0076,0.1809,0.0517,0.0061,0.0007,0.0229,0.0183,0.0000,0.0000,0.0000,0.0000,0.5428,0.0498,0.056959,0.023137,0.00939,0.00267,0.0000,0.0000,0.05824,0.01245,0.0174,0.0047,0.00026,0.00003,0.000351,0.000108,0.0073,0.0020,0.000650,0.000090,0.12976,0.02502,1116.3,365.7,1126.3,444.4
 6,0.0586,0.0037,0.0341,0.0025,0.1692,0.0545,0.0066,0.0006,0.0267,0.0018,0.0000,0.0000,0.0000,0.0000,0.5856,0.0357,0.025571,0.005100,0.00917,0.00097,0.0000,0.0000,0.05746,0.00357,0.0161,0.0017,0.00024,0.00005,0.000306,0.000026,0.0066,0.0005,0.000902,0.000117,0.09203,0.00605,1186.6,355.4,1199.3,431.9
10,0.0567,0.0027,0.0234,0.0060,0.1569,0.0313,0.0073,0.0007,0.0434,0.0139,0.0000,0.0000,0.0000,0.0000,0.6373,0.0458,0.006539,0.001500,0.00630,0.00108,0.0000,0.0000,0.04377,0.00749,0.0098,0.0007,0.00020,0.00004,0.000195,0.000033,0.0043,0.0008,0.000998,0.000087,0.05071,0.00634,1257.7,328.7,1273.7,405.6
14,0.0499,0.0078,0.0195,0.0155,0.1246,0.0285,0.0077,0.0007,0.0617,0.0416,0.0000,0.0000,0.0000,0.0000,0.6794,0.0443,0.003443,0.004356,0.00473,0.00362,0.0000,0.0000,0.03545,0.02379,0.0062,0.0035,0.00009,0.00005,0.000147,0.000028,0.0030,0.0024,0.001181,0.000126,0.03710,0.01703,1269.1,305.0,1285.5,383.6
20,0.0431,0.0011,0.0081,0.0004,0.0866,0.0172,0.0082,0.0006,0.0976,0.0024,0.0000,0.0000,0.0000,0.0000,0.7283,0.0159,0.000687,0.000062,0.00202,0.00009,0.0000,0.0000,0.01727,0.00045,0.0027,0.0001,0.00000,0.00000,0.000072,0.000003,0.0012,0.0001,0.000737,0.000103,0.01476,0.00042,1241.1,337.9,1256.1,429.7
30,0.0351,0.0016,0.0024,0.0006,0.0618,0.0199,0.0085,0.0007,0.1273,0.0099,0.0000,0.0000,0.0000,0.0000,0.7531,0.0365,0.000081,0.000061,0.00055,0.00017,0.0000,0.0000,0.00610,0.00155,0.0009,0.0003,0.00000,0.00000,0.000012,0.000024,0.0003,0.0001,0.000304,0.000062,0.00419,0.00070,1083.6,378.7,1092.4,478.6
45,0.0219,0.0022,0.0000,0.0000,0.0299,0.0088,0.0086,0.0006,0.1619,0.0080,0.0000,0.0000,0.0000,0.0000,0.7732,0.0234,0.000006,0.000004,0.00002,0.00001,0.0000,0.0000,0.00035,0.00070,0.0000,0.0000,0.00000,0.00000,0.000000,0.000000,0.0001,0.0002,0.000208,0.000060,0.00013,0.00021, 810.0,389.5, 812.7,489.4
60,0.0132,0.0012,0.0000,0.0000,0.0164,0.0046,0.0088,0.0007,0.1832,0.0086,0.0000,0.0000,0.0000,0.0000,0.7739,0.0229,0.000000,0.000000,0.00001,0.00002,0.0000,0.0000,0.00002,0.00004,0.0000,0.0000,0.00000,0.00000,0.000000,0.000000,0.0000,0.0000,0.000063,0.000052,0.00001,0.00002, 612.4,288.1, 613.0,364.1
