Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene
2,0.0450501030489878,0.00268467884741227,0.0300974834883899,0.00347292418578644,0.161333583874357,0.0342127558896615,0.0047636111801922,0.000550517362593582,0.0175305207166245,0.00692123880953263,0,0,0,0,0.435692920492465,0.435692920492465,0.211630967555364,0.103440761355276,0.0098997558944438,0.000742637734851906,0,0,0.0470316187787209,0.00309564698731378,0.0261966885911291,0.0046061140231611,0.000338394658939493,0.000199124490203849,0.000683113691306587,4.79859617582035e-05,0.00975123802908048,0.00130601182064778
4,0.0502909178997287,0.00425882274776088,0.0358650650890186,0.0072262560808489,0.16444623153224,0.0348011120205644,0.00561232228283276,0.000506242023415847,0.0212079892776478,0.0170025934641438,0,0,0,0,0.517954612692486,0.517954612692486,0.105751627941985,0.0296612977475374,0.0085283415444649,0.00654652303084324,0,0,0.0535983806000405,0.0114080435148787,0.0253074562551192,0.00678702715686544,0.000392768118305928,0.000181667175851102,0.000610598630969523,0.000184844635846221,0.0104336881351607,0.00279471827750645
6,0.0546422432824747,0.00232108582484922,0.0324435001154446,0.0017530011511889,0.171129736719915,0.0414933756822845,0.00618514729383795,0.000290448801264281,0.0250944970425802,0.00111939291067613,0,0,0,0,0.568508556110397,0.568508556110397,0.0392147743281293,0.00902218363555888,0.0144398881788129,0.00136271094903603,0,0,0.0540520586285213,0.00232457802897469,0.0237756870936335,0.00203434135311883,0.000363467589846516,0.000184179356818831,0.000540883442686938,3.8870326155302e-05,0.00960956017371991,0.000590314963093119
10,0.0534760806450413,0.00214966455539131,0.0239300709466815,0.00450286706896569,0.168660804918473,0.0360443171732469,0.006843714260322,0.000445312623876184,0.040829511926075,0.0127846911224401,0,0,0,0,0.623873645750807,0.623873645750807,0.00959085703860828,0.0024894636843885,0.0100992591569577,0.0016988356362757,0,0,0.0415839033263113,0.00741743936282986,0.0141383881666136,0.00130351975838094,0.000265114972265474,0.000125387655576249,0.000333765372956209,3.57477244822139e-05,0.00637488351888848,0.00133694045794733
14,0.0479885843575289,0.00750721530017373,0.0190283541100682,0.0150937895912399,0.129787110697046,0.0248474771590853,0.00737925749310366,0.000500456109045161,0.059441438647,0.0400959868460517,0,0,0,0,0.675149760248864,0.675149760248864,0.00540146744260644,0.00687002803621844,0.00762558737121157,0.0058386391333743,0,0,0.034082760437646,0.0228681869433334,0.00922801082613742,0.00506908170750123,0.000137616096947213,0.000102938310883559,0.000265454037617974,5.03224140173484e-05,0.00448459823422204,0.00364258440596723
20,0.0384699988144807,0.00835922929184912,0.00606116646592467,0.00370678101914772,0.0664826899335444,0.0625185729557952,0.00822157956201964,0.000375187082458836,0.107815193158179,0.0219067636390513,0,0,0,0,0.750303353786138,0.750303353786138,0.000835199080833239,0.000567638720704076,0.00267315318381231,0.0013768657351082,0,0,0.0140414866278037,0.00621824465653639,0.00352280993908862,0.00145482129800359,0,0,0.000122193474167545,2.58618734658104e-05,0.00145117597400789,0.000710454718342456
30,0.0350820365305036,0.00106620364748886,0.00243868128312254,0.000628845312845715,0.0447727125547952,0.01051076042403,0.0084245935884393,0.000305193103048114,0.12698041112921,0.00723699086163313,0,0,0,0,0.773475690778111,0.773475690778111,0.000132821443395347,0.000102287853438711,0.000905157235738077,0.000295161028790972,0,0,0.00599777734741962,0.00159272950989816,0.00137179871257342,0.000460581595006256,0,0,1.42030219471728e-05,2.84193798703914e-05,0.000404116374744847,0.000138414695119415
45,0.021434649104835,0.00186869698020216,0,0,0.0311359256161047,0.00594246247837703,0.00848637773712937,0.00053920133664043,0.158539981702582,0.00851460502132546,0,0,0,0,0.779561741719011,0.779561741719011,9.05999867721394e-06,6.73333239929437e-06,3.86500416034229e-05,9.04542170993021e-06,0,0,0.000633133268372711,4.28974013278082e-05,0,0,0,0,0,0,0.000160480811684084,0.000321172057357077
60,0.0128654196345761,0.0011905855309918,0,0,0.0253843965655988,0.00482055365791793,0.00847363226028112,0.000372009173680342,0.175491941815988,0.00372312464237608,0,0,0,0,0.777784609723556,0.777784609723556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
