Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
 2,0.0424,0.0011,0.0310,0.0015,0.0677,0.0136,0.0061,0.0004,0.00462,0.00010,0.239498,0.008780,0.0000,0.0000,0.5310,0.0106,0.0000,0.0000,0.01041,0.00044,0.0000,0.0000,0.037502,0.000925,0.01110,0.00052,0.000592,0.000071,0.0007494,0.0000272,0.01296,0.00071,0.0005,0.0003,0.0007,0.0001,0.30630,0.00896, 948.0,530.0
 4,0.0499,0.0013,0.0342,0.0017,0.0855,0.0170,0.0070,0.0005,0.00333,0.00008,0.119951,0.004508,0.0000,0.0000,0.6090,0.0132,0.0000,0.0000,0.01297,0.00056,0.0000,0.0000,0.043485,0.001131,0.01327,0.00063,0.000551,0.000066,0.0007981,0.0000297,0.01564,0.00087,0.0005,0.0003,0.0023,0.0001,0.19736,0.00496,1106.0,522.0
 6,0.0501,0.0013,0.0368,0.0018,0.0848,0.0169,0.0071,0.0005,0.00105,0.00003,0.099642,0.003736,0.0000,0.0000,0.6220,0.0134,0.0000,0.0000,0.01488,0.00064,0.0000,0.0000,0.046485,0.001203,0.01405,0.00066,0.000892,0.000107,0.0007929,0.0000295,0.01690,0.00094,0.0005,0.0003,0.0031,0.0001,0.18395,0.00435,1188.0,522.0
14,0.0541,0.0015,0.0296,0.0015,0.1001,0.0198,0.0078,0.0006,0.01186,0.00031,0.027927,0.001085,0.0000,0.0000,0.6858,0.0163,0.0000,0.0000,0.01201,0.00053,0.0000,0.0000,0.041739,0.001161,0.01063,0.00051,0.000689,0.000083,0.0005241,0.0000202,0.01293,0.00073,0.0005,0.0003,0.0054,0.0001,0.09426,0.00211,1330.0,524.0
20,0.0520,0.0014,0.0160,0.0008,0.0830,0.0165,0.0084,0.0006,0.04370,0.00103,0.007765,0.000291,0.0000,0.0000,0.7379,0.0157,0.0000,0.0000,0.00627,0.00027,0.0000,0.0000,0.027692,0.000713,0.00608,0.00029,0.000379,0.000046,0.0002344,0.0000087,0.00618,0.00034,0.0004,0.0003,0.0041,0.0002,0.04288,0.00098,1350.0,584.0
30,0.0411,0.0010,0.0067,0.0003,0.0617,0.0125,0.0086,0.0006,0.09250,0.00196,0.001236,0.000044,0.0000,0.0000,0.7647,0.0142,0.0000,0.0000,0.00217,0.00009,0.0000,0.0000,0.012366,0.000291,0.00236,0.00011,0.000132,0.000016,0.0000701,0.0000025,0.00207,0.00011,0.0004,0.0003,0.0021,0.0001,0.01469,0.00037,1207.0,724.0
45,0.0233,0.0005,0.0011,0.0001,0.0317,0.0068,0.0086,0.0006,0.14783,0.00275,0.000103,0.000004,0.0000,0.0000,0.7801,0.0121,0.0000,0.0000,0.00028,0.00001,0.0000,0.0000,0.002459,0.000052,0.00032,0.00001,0.000011,0.000001,0.0000103,0.0000004,0.00024,0.00001,0.0000,0.0000,0.0005,0.0001,0.00207,0.00006, 967.0,746.0
60,0.0149,0.0003,0.0000,0.0000,0.0176,0.0041,0.0086,0.0006,0.16779,0.00300,0.000000,0.000000,0.0000,0.0000,0.7867,0.0115,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.000464,0.000010,0.00000,0.00000,0.000000,0.000000,0.0000000,0.0000000,0.00000,0.00000,0.0000,0.0000,   NaN,   NaN,0.00000,0.00000, 747.0,660.0
75,0.0112,0.0002,0.0000,0.0000,0.0100,0.0027,0.0087,0.0006,0.18105,0.00319,0.000000,0.000000,0.0000,0.0000,0.7850,0.0112,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.000090,0.000002,0.00000,0.00000,0.000000,0.000000,0.0000000,0.0000000,0.00000,0.00000,0.0000,0.0000,   NaN,   NaN,0.00000,0.00000, 591.0,362.0
