Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene
1,0.042991134281015,0.00496359693999052,0.0526876536881641,0.00357364702512307,0.17017739179452,0.0331836112925683,0.00418999092519425,0.000266282973860689,0.016755348833457,0.00117851430182014,0,0,0.266447793188341,0.0650440894238069,0.388395557792546,0.388395557792546,0,0,0.00111521466540029,7.56542777560622e-05,0,0,0.0572399148313629,0.00304512487297939,0,0,0,0,0,0,0,0
2,0.0471055332129711,0.00514980056638551,0.0576016948295771,0.00733065802550819,0.178649583552788,0.0456600577784988,0.00455719678979792,0.000661948289715082,0.0156682315900217,0.00926064846645776,0,0,0.20886449456798,0.10700670696881,0.419016453228177,0.419016453228177,0,0,0.00126655532927684,0.000179030979836595,0,0,0.0672702568994106,0.00792493424620664,0,0,0,0,0,0,0,0
4,0.0543553199812481,0.0056639850891926,0.0446835438509668,0.00610604073431326,0.170815086461794,0.0508450468291796,0.0056748585022272,0.000453077359976042,0.0325271211503278,0.00827309981711432,0,0,0.11502164324868,0.0297314137404811,0.518186342386451,0.518186342386451,0,0,0.000949677786709922,0.000123808052050088,0,0,0.0577864066315952,0.00677216981003939,0,0,0,0,0,0,0,0
6,0.0553050027243892,0.00342660606312901,0.0317337711151185,0.0039068624479366,0.164479802526201,0.0391717720894004,0.00626471154119165,0.000382659596838492,0.0485939189962612,0.00522398954852693,0,0,0.0808760683727916,0.0158224110609498,0.56973291515468,0.56973291515468,0,0,0.00063330111493151,0.000137993550679381,0,0,0.0423805084544357,0.00358091520878032,0,0,0,0,0,0,0,0
10,0.0584931365148694,0.00356498981380832,0.0165189580130119,0.00386654536320387,0.131517587397653,0.0325584515714398,0.00683410865358891,0.000344215391672783,0.0797789908022298,0.00756209550646156,0,0,0.0574789876169627,0.0104628062453929,0.625036159618009,0.625036159618009,0,0,0.000336887732593205,7.50530449135456e-05,0,0,0.0240051836510819,0.00515113807880068,0,0,0,0,0,0,0,0
14,0.0484858109602476,0.00367509169019764,0.0098756569480814,0.000967129041670503,0.118962182635096,0.0354839945949151,0.00714390802840597,0.000297933852912099,0.095706353699902,0.00813401636713058,0,0,0.0498909125090505,0.00910267853959136,0.653175590718915,0.653175590718915,0,0,0.000202351501232349,2.97857509585745e-05,0,0,0.0165572329990686,0.00216038444242427,0,0,0,0,0,0,0,0
20,0.0372479734555957,0.00221292170874472,0.00133601134975681,8.3464395030727e-05,0.0541785603490538,0.013609295693762,0.00824588934651674,0.000320563681058497,0.137193430987901,0.00391075316070408,0,0,0,0,0.758415873559954,0.758415873559954,0,0,0,0,0,0,0.00338226095122175,0.000217053840381329,0,0,0,0,0,0,0,0
30,0.0206388155891492,0.00885942027197297,0,0,0.0244391223147122,0.00463965807761565,0.00843694970592972,0.000277029633058923,0.166247576446034,0.0150206949487859,0,0,0,0,0.779856514367999,0.779856514367999,0,0,0,0,0,0,0.000381021576176503,0.000521371093942467,0,0,0,0,0,0,0,0
60,0.00877788658110589,0.000698406522546138,0,0,0,0,0.00851925212597607,0.000294136218842739,0.191687013993185,0.00441219847156229,0,0,0,0,0.791015847299733,0.791015847299733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
