Position_cm,X_CO2,U_X_CO2,X_H2,U_X_H2,X_H2O,U_X_H2O,X_Ar,U_X_Ar,X_O2,U_X_O2,X_Propane,U_X_Propane,X_Methanol,U_X_Methanol,X_N2,U_X_N2,X_Ethanol,U_X_Ethanol,X_CH4,U_X_CH4,X_Acetone,U_X_Acetone,X_CO,U_X_CO,X_Acetylene,U_X_Acetylene,X_Benzene,U_X_Benzene,X_Ethane,U_X_Ethane,X_Ethylene,U_X_Ethylene,Y_Soot,U_Y_Soot,X_HC,U_X_HC,Temperature_K,U_Temperature_K,Corrected_Temperature_K,U_Corrected_Temperature_K
 2,0.0608,0.0102,0.0234,0.0077,0.0706,0.0463,0.0079,0.0007,0.0142,0.0028,0.07150,0.02277,0.0000,0.0000,0.6861,0.0423,0.0000,0.0000,0.00758,0.00163,0.0000,0.0000,0.033464,0.004816,0.00896,0.00298,0.00021,0.00003,0.00062,0.00008,0.0103,0.0027,0.0005,0.0003,0.0003,0.0001,0.12260,0.02442, 948.0,530.0
 4,0.0604,0.0066,0.0232,0.0021,0.0992,0.0790,0.0080,0.0008,0.0139,0.0011,0.03087,0.00379,0.0000,0.0000,0.6954,0.0539,0.0000,0.0000,0.00877,0.00080,0.0000,0.0000,0.035129,0.002982,0.00932,0.00109,0.00033,0.00005,0.00049,0.00004,0.0106,0.0010,0.0005,0.0003,0.0012,0.0001,0.08358,0.00465,1106.0,522.0
 6,0.0600,0.0061,0.0256,0.0093,0.0940,0.0524,0.0081,0.0008,0.0146,0.0199,0.02235,0.01791,0.0000,0.0000,0.7059,0.0523,0.0000,0.0000,0.00903,0.00310,0.0000,0.0000,0.035379,0.008408,0.00941,0.00235,0.00043,0.00005,0.00046,0.00020,0.0104,0.0035,0.0005,0.0003,0.0015,0.0002,0.07764,0.02086,1188.0,522.0
10,0.0603,0.0023,0.0189,0.0065,0.0922,0.0386,0.0084,0.0007,0.0260,0.0235,0.00763,0.00471,0.0000,0.0000,0.7291,0.0314,0.0000,0.0000,0.00710,0.00283,0.0000,0.0000,0.030446,0.009355,0.00737,0.00215,0.00039,0.00005,0.00028,0.00010,0.0076,0.0028,0.0005,0.0003,0.0024,0.0001,0.04922,0.00923,1283.0,514.0
14,0.0558,0.0016,0.0132,0.0078,0.0914,0.0182,0.0084,0.0006,0.0457,0.0250,0.00256,0.00513,0.0000,0.0000,0.7392,0.0175,0.0000,0.0000,0.00498,0.00278,0.0000,0.0000,0.023664,0.009973,0.00516,0.00251,0.00032,0.00004,0.00018,0.00013,0.0050,0.0030,0.0005,0.0003,0.0027,0.0001,0.03142,0.01048,1330.0,524.0
20,0.0486,0.0047,0.0074,0.0004,0.0450,0.0274,0.0087,0.0007,0.0822,0.0076,0.00057,0.00004,0.0000,0.0000,0.7823,0.0355,0.0000,0.0000,0.00224,0.00016,0.0000,0.0000,0.013670,0.001556,0.00270,0.00016,0.00013,0.00002,0.00006,0.00001,0.0020,0.0002,0.0004,0.0003,0.0021,0.0002,0.01511,0.00048,1350.0,584.0
30,0.0247,0.0013,0.0009,0.0001,0.0309,0.0092,0.0087,0.0007,0.1453,0.0050,0.00000,0.00000,0.0000,0.0000,0.7828,0.0142,0.0000,0.0000,0.00020,0.00002,0.0000,0.0000,0.002124,0.000058,0.00033,0.00002,0.00002,0.00001,0.00000,0.00000,0.0001,0.0001,0.0000,0.0000,0.0005,0.0001,0.00160,0.00010,1207.0,724.0
45,0.0148,0.0007,0.0000,0.0000,0.0134,0.0052,0.0088,0.0008,0.1735,0.0053,0.00000,0.00000,0.0000,0.0000,0.7854,0.0190,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.000164,0.000042,0.00010,0.00004,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,0.0002,0.0000,0.00010,0.00004, 967.0,746.0
60,0.0098,0.0002,0.0000,0.0000,0.0077,0.0022,0.0087,0.0006,0.1854,0.0033,0.00000,0.00000,0.0000,0.0000,0.7844,0.0112,0.0000,0.0000,0.00000,0.00000,0.0000,0.0000,0.000026,0.000001,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.0000,0.0000,0.0000,0.0000,   NaN,0.0000,0.00000,0.00000, 747.0,660.0
